2024-01-25 10:57:00.605 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.8654 ms
2024-01-25 10:57:12.982 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0472 ms
2024-01-25 10:57:12.998 +07:00 [INF] HTTP GET /api/account responded 200 in 1.8715 ms
2024-01-25 10:57:14.419 +07:00 [INF] HTTP GET /api/account responded 200 in 1.9282 ms
2024-01-25 10:57:15.454 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0155 ms
2024-01-25 10:57:15.460 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.9344 ms
2024-01-25 10:57:23.977 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0377 ms
2024-01-25 10:57:23.991 +07:00 [INF] HTTP GET /api/account responded 200 in 2.2149 ms
2024-01-25 10:57:25.607 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0201 ms
2024-01-25 10:57:25.612 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.8398 ms
2024-01-25 10:57:28.993 +07:00 [INF] HTTP GET /api/account responded 200 in 2.1378 ms
2024-01-25 10:57:30.040 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 3.2537 ms
2024-01-25 10:57:31.027 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0198 ms
2024-01-25 10:57:31.047 +07:00 [INF] HTTP GET /api/account responded 200 in 2.4049 ms
2024-01-25 10:57:32.609 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0167 ms
2024-01-25 10:57:32.613 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.7855 ms
2024-01-25 10:57:47.980 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0400 ms
2024-01-25 10:57:48.003 +07:00 [INF] HTTP GET /api/account responded 200 in 2.1135 ms
2024-01-25 10:57:49.600 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0176 ms
2024-01-25 10:57:49.604 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.7851 ms
2024-01-25 10:57:58.017 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0300 ms
2024-01-25 10:57:58.032 +07:00 [INF] HTTP GET /api/account responded 200 in 1.4130 ms
2024-01-25 10:57:59.606 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0150 ms
2024-01-25 10:57:59.610 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.8013 ms
2024-01-25 10:58:06.023 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0364 ms
2024-01-25 10:58:06.057 +07:00 [INF] HTTP GET /api/account responded 200 in 2.7442 ms
2024-01-25 10:58:06.995 +07:00 [INF] HTTP GET /api/account responded 200 in 1.4077 ms
2024-01-25 10:58:08.021 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0230 ms
2024-01-25 10:58:08.026 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.8148 ms
2024-01-25 10:58:09.950 +07:00 [INF] HTTP GET /api/account responded 200 in 1.7825 ms
2024-01-25 10:58:11.597 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.8331 ms
2024-01-25 10:58:12.930 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0246 ms
2024-01-25 10:58:12.944 +07:00 [INF] HTTP GET /api/account responded 200 in 1.5794 ms
2024-01-25 10:58:13.971 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0325 ms
2024-01-25 10:58:13.977 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.8496 ms
2024-01-25 10:58:23.904 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0349 ms
2024-01-25 10:58:23.923 +07:00 [INF] HTTP GET /api/account responded 200 in 1.2879 ms
2024-01-25 10:58:24.730 +07:00 [INF] HTTP GET /api/account responded 200 in 1.9539 ms
2024-01-25 10:58:26.600 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0144 ms
2024-01-25 10:58:26.605 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.0076 ms
2024-01-25 10:58:42.734 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0138 ms
2024-01-25 10:58:42.738 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 1.0486 ms
2024-01-25 10:58:45.439 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0331 ms
2024-01-25 10:58:45.443 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 0.8297 ms
2024-01-25 10:58:47.665 +07:00 [INF] HTTP OPTIONS /api/profiles/tom responded 204 in 0.0144 ms
2024-01-25 10:58:47.668 +07:00 [INF] HTTP GET /api/profiles/tom responded 200 in 0.7674 ms
2024-01-25 10:58:49.283 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0143 ms
2024-01-25 10:58:49.287 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.8806 ms
2024-01-25 10:58:52.057 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0138 ms
2024-01-25 10:58:52.062 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 0.9992 ms
2024-01-25 10:59:00.417 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0215 ms
